Status,Number,Species,Subgenus,Family,Subfamily,Life history notes,Conservation status,Reference,Plant Foraging Habits,Link to Plant Data,Habitat Details,Link to Habitat Details
Y,58,Andrena nuda,Trachandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Heracleum maximum @ AMNH_BEE (5)
Lomatium sp @ BBSL (2)
Ilex opaca @ AMNH_BEE (1)
Alliaria petiolata @ AMNH_BEE (2); UCMS_ENT (1)
Barbarea vulgaris @ AMNH_BEE (1)
Brassica oleracea @ UCMS_ENT (1)
Brassica rapa @ UCMS_ENT (7)
Brassica sp @ UCMS_ENT (1)
Vaccinium @ AMNH_BEE (2)
Euphorbia @ CUIC_ENT (1)
Melilotus @ AMNH_BEE (1)
Polycitoridae  Salix sp @ BBSL (2)
Amelanchier sp @ BBSL (1)
Cercocarpus sp @ BBSL (1)
Malus domestica @ UCMS_ENT (2)
Malus pumila @ BBSL (1)
Malus @ AMNH_BEE (1)
Photinia melanocarpa @ UCMS_ENT (3)
Prunus sp @ BBSL (3)
Prunus virginiana @ BBSL (2)
Prunus @ AMNH_BEE (11)
Rubus allegheniensis @ UCMS_ENT (2)
Rubus flagellaris @ UCMS_ENT (1)
Rubus @ AMNH_BEE (1); UCRC_ENT (2)
Spiraea thunbergii @ BBSL (2)
Salix @ AMNH_BEE (1)
Astilbe @ UCRC_ENT (1)
Myosotis @ RUAC_ENT (1)",https://www.discoverlife.org/20/q?search=Andrena+nuda,,
Y,59,Andrena perplexa,Tylandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Viburnum sp @ CUIC_ENT (2)
Viburnum @ AMNH_BEE (1)
Lomatium dissectum @ BBSL (6)
Hieracium aurantiacum @ CUIC_ENT (8)
Senecio sp @ BBSL (1)
Taraxacum campylodes @ AMNH_BEE (1); CUIC_ENT (1)
Taraxacum @ AMNH_BEE (1); RUAC_ENT (1); I_JSA (2)
Hackelia patens @ BBSL (1)
Alliaria @ AMNH_BEE (2)
Barbarea vulgaris @ CUIC_ENT (29)
Brassica rapa @ UCMS_ENT (1)
Brassica sp @ CUIC_ENT (1)
Lesquerella filiformis @ AMNH_BEE (1)
Moricandia arvensis @ CUIC_ENT (4)
Cornus alba @ CUIC_ENT (1)
Cornus sp @ CUIC_ENT (1)
Cornus stolonifera @ CUIC_ENT (3)
Ledum groenlandicum @ CUIC_ENT (1)
Rhododendron @ RUAC_ENT (1)
Vaccinium sp @ CUIC_ENT (1)
Lotus corniculatus @ CUIC_ENT (2)
Melilotus @ AMNH_BEE (9)
Glechoma hederacea @ AMNH_BEE (1)
Amelanchier arborea @ CUIC_ENT (3)
Amelanchier sp @ BBSL (1)
Malus pumila @ BBSL (1)
Malus sp @ CUIC_ENT (4)
Malus @ AMNH_BEE (2)
Physocarpus opulifolius @ CUIC_ENT (74)
Prunus cerasus @ CUIC_ENT (3)
Prunus demissa @ AMNH_BEE (3)
Prunus sp @ BBSL (1); CUIC_ENT (2)
Prunus virginiana @ BBSL (35)
Prunus @ AMNH_BEE (3)
Rubus allegheniensis @ CUIC_ENT (5)
Rubus sp @ CUIC_ENT (12)
Rubus @ AMNH_BEE (2)
Spiraea sp @ CUIC_ENT (1)
Spiraea vanhouttei @ CUIC_ENT (1)
apple @ NLA (24)
blueberry @ NLA (8)",https://www.discoverlife.org/20/q?search=Andrena+perplexa,,
Y,60,Andrena persimulata,Gonandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Rhus typhina @ CUIC_ENT (1)
Taraxacum campylodes @ CUIC_ENT (1)
Barbarea vulgaris @ CUIC_ENT (4)
Viburnum sp @ BBSL (1)
Cornus alba @ CUIC_ENT (8)
Cornus sp @ CUIC_ENT (3)
Cornus stolonifera @ CUIC_ENT (55)
Vaccinium sp @ CUIC_ENT (4)
Fallopia convolvulus @ CUIC_ENT (4)
Fragaria sp @ BBSL (1)
Prunus sp @ CUIC_ENT (1)
Prunus virginiana @ AMNH_BEE (2)
Spiraea sp @ CUIC_ENT (3)
Salix babylonica @ CUIC_ENT (1)",https://www.discoverlife.org/20/q?search=Andrena+persimulata,,
Y,61,Andrena placata,Callandrena,Andrenidae,Andreninae,"ground nesting, solitary",declining in Northeast,Bartomeus et al. 2013,"Aster lateriflorus @ CUIC_ENT (1)
Aster sp @ BBSL (1)
Eurybia macrophylla @ CUIC_ENT (1)
Solidago juncea @ CUIC_ENT (9)
Solidago rugosa @ UCMS_ENT (1)
Solidago sp @ CUIC_ENT (80); UCMS_ENT (9)
Solidago tenuifolia @ UCMS_ENT (2)
Solidago @ UCMS_ENT (13); AMNH_BEE (6)
Polygonum cuspidatum @ UCMS_ENT (2)",https://www.discoverlife.org/20/q?search=Andrena+placata,,
Y,62,Andrena platyparia,Gonandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Sambucus canadensis @ CUIC_ENT (1)
Aegopodium podagraria @ CUIC_ENT (2)
Cicuta maculata @ CUIC_ENT (2)
Hieracium sp @ CUIC_ENT (1)
Leucanthemum vulgare @ CUIC_ENT (1)
Barbarea vulgaris @ CUIC_ENT (6)
Brassica sp @ CUIC_ENT (1)
Cornus australis @ I_JSA (1)
Cornus foemina @ AMNH_BEE (1)
Cornus racemosa @ CUIC_ENT (2)
Cornus sp @ CUIC_ENT (10)
Cornus stolonifera @ CUIC_ENT (4)
Cornus @ AMNH_BEE (4); I_JSA (1)
Vaccinium sp @ CUIC_ENT (1)
Vaccinium stamineum @ CUIC_ENT (9)
Lotus corniculatus @ CUIC_ENT (1)
Melilotus officinalis @ CUIC_ENT (4)
Physocarpus opulifolius @ CUIC_ENT (4)
Rubus sp @ CUIC_ENT (5)
Sorbaria sorbifolia @ CUIC_ENT (2)
Spiraea vanhouttei @ CUIC_ENT (1)",https://www.discoverlife.org/20/q?search=Andrena+platyparia,,
Y,63,Andrena pruni,Melandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Viburnum @ AMNH_BEE (1)
Apocynum @ UCRC_ENT (1)
Berberis thunbergii @ AMNH_BEE (1)
Alliaria petiolata @ AMNH_BEE (2)
Brassica rapa @ UCMS_ENT (1)
Brassica sp @ UCMS_ENT (1)
Pieris japonica @ UCMS_ENT (1)
Vaccinium sp @ UCMS_ENT (1)
Vaccinium @ AMNH_BEE (6)
Amorpha fruticosa @ AMNH_BEE (1)
Aruncus aruncus @ AMNH_BEE (3)
Malus @ AMNH_BEE (1)
Physocarpus opulifolius @ CUIC_ENT (1)
Prunus @ AMNH_BEE (1)
Pyrus @ AMNH_BEE (2)
Rosa multiflora @ UCMS_ENT (1)
Rubus @ AMNH_BEE (1)
apple @ NLA (6)
blueberry @ NLA (9)",https://www.discoverlife.org/20/q?search=Andrena+pruni,,
Y,64,Andrena regularis,Melandrena,Andrenidae,Andreninae,"ground nesting, solitary",declining in Northeast,Bartomeus et al. 2013,"Barbarea vulgaris @ CUIC_ENT (8)
Lonicera fragrantissima @ AMNH_BEE (1)
Cornus mas @ CUIC_ENT (2)
Chamaedaphne calyculata @ CUIC_ENT (1)
Trillium grandiflorum @ CUIC_ENT (1)
Crataegus punctata @ CUIC_ENT (1)
Malus @ CUIC_ENT (6)
Prunus @ CUIC_ENT (2)
Rubus @ CUIC_ENT (1)
Spiraea vanhouttei @ CUIC_ENT (1)
Salix @ AMNH_BEE (1); CUIC_ENT (4)",https://www.discoverlife.org/20/q?search=Andrena+regularis,,
Y,65,Andrena rehni,Trachandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Ilex opaca @ AMNH_BEE (1)
Castanea pumila @ AMNH_BEE (1)
Ceanothus @ AMNH_BEE (1)",https://www.discoverlife.org/20/q?search=Andrena+rehni,,
Y,66,Andrena robertsonii,Rhacandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Viburnum @ CUIC_ENT (1)
Rhus copallinum @ CUIC_ENT (2)
Heracleum maximum @ AMNH_BEE (1)
Ilex verticillata @ AMNH_BEE (19)
Ilex @ UCMS_ENT (10)
Hieracium @ CUIC_ENT (1)
Barbarea sp @ CUIC_ENT (1)
Barbarea vulgaris @ CUIC_ENT (10)
Cornus sp @ CUIC_ENT (2)
Cornus stolonifera @ CUIC_ENT (3)
Vaccinium sp @ CUIC_ENT (2)
Lotus corniculatus @ CUIC_ENT (1)
Melilotus officinalis @ CUIC_ENT (6)
Fagopyrum esculentum @ UCMS_ENT (2)
Ceanothus @ AMNH_BEE (1); UCMS_ENT (1)
Amelanchier arborea @ CUIC_ENT (1)
Malus sp @ CUIC_ENT (1)
Prunus sp @ CUIC_ENT (2)
Prunus virginiana @ BBSL (3)
Rosa sp @ CUIC_ENT (1)
Rubus allegheniensis @ CUIC_ENT (2)
Rubus sp @ CUIC_ENT (89)
Rubus @ CUIC_ENT (5)
Spiraea sp @ CUIC_ENT (5)",https://www.discoverlife.org/20/q?search=Andrena+robertsonii,,
Y,67,Andrena rufosignata,Andrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Taraxacum campylodes @ CUIC_ENT (3)
Taraxacum @ AMNH_BEE (3)
Myosotis laxa @ BBSL (1)
Barbarea vulgaris @ CUIC_ENT (10)
Andromeda polifolia @ AMNH_BEE (1)
Arctostaphylos uva-ursi @ BBSL (1)
Lyonia ligustrina @ CUIC_ENT (1)
Phyllodoce empetriformis @ BBSL (3)
Vaccinium corymbosum @ AMNH_BEE (1)
Vaccinium sp @ AMNH_BEE (1); CUIC_ENT (4)
Vaccinium stamineum @ CUIC_ENT (1)
Claytonia caroliniana @ CUIC_ENT (1)
Polycitoridae  Salix sp @ BBSL (1)
Amelanchier sp @ CUIC_ENT (1)
Malus @ AMNH_BEE (1)
Prunus americana @ AMNH_BEE (1)
Prunus pensylvanica @ UCMS_ENT (3)
Prunus sp @ BBSL (1)
Spiraea sp @ CUIC_ENT (1)
Spiraea thunbergii @ BBSL (1)
Salix sp @ CUIC_ENT (1)
Salix @ AMNH_BEE (2)
Pedicularis bracteosa @ BBSL (1)",https://www.discoverlife.org/20/q?search=Andrena+rufosignata,,
Y,68,Andrena rugosa,Trachandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Viburnum sp @ AMNH_BEE (1)
Heracleum maximum @ AMNH_BEE (1)
Zizia aurea @ CUIC_ENT (1)
Taraxacum campylodes @ CUIC_ENT (7)
Berberis thunbergii @ AMNH_BEE (4)
Barbarea vulgaris @ CUIC_ENT (70)
Brassica rapa @ UCMS_ENT (3)
Brassica @ CUIC_ENT (1)
Cardamine concatenata @ CUIC_ENT (2)
Moricandia arvensis @ CUIC_ENT (1)
Cornus mas @ CUIC_ENT (5)
Cornus stolonifera @ CUIC_ENT (4)
Kalmia latifolia @ CUIC_ENT (4)
Vaccinium sp @ AMNH_BEE (1)
Euphorbia esula @ UCMS_ENT (1)
Fagus grandifolia @ CUIC_ENT (2)
Geranium maculatum @ CUIC_ENT (2)
Claytonia virginica @ CUIC_ENT (1)
Poly. Salix sp @ BBSL (1)
Hepatica @ CUIC_ENT (2)
Amelanchier arborea @ CUIC_ENT (4)
Crataegus @ AMNH_BEE (1)
Malus pumila @ CUIC_ENT (1)
Malus @ CUIC_ENT (1); AMNH_BEE (3)
Physocarpus opulifolius @ CUIC_ENT (5)
Prunus pensylvanica @ UCMS_ENT (3)
Prunus sp @ BBSL (2)
Prunus virginiana @ AMNH_BEE (1)
Prunus @ AMNH_BEE (1); CUIC_ENT (3)
Pyracantha @ CUIC_ENT (2)
Rosa multiflora @ CUIC_ENT (1)
Rosa @ CUIC_ENT (2)
Rubus allegheniensis @ CUIC_ENT (1)
Rubus @ CUIC_ENT (15)
Spiraea @ CUIC_ENT (1)
Salix babylonica @ CUIC_ENT (6)
Salix gracilistyla @ AMNH_BEE (1)
Salix humilis @ AMNH_BEE (24); CUIC_ENT (2)
Salix sp @ CUIC_ENT (2)
Salix @ AMNH_BEE (20); CUIC_ENT (64)
Sapindaceae  	Acer rubrum @ CUIC_ENT (5)
apple @ NLA (2)",https://www.discoverlife.org/20/q?search=Andrena+rugosa,,
Y,69,Andrena runcinatae,Cnemidandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Agoseris glauca @ AMNH_BEE (1)
Cirsium undulatum @ AMNH_BEE (5)
Grindelia squarrosa @ AMNH_BEE (4)
Lactuca pulchella @ AMNH_BEE (6)
Ratibida columnifera @ AMNH_BEE (1)
Symphoricarpos occidentalis @ AMNH_BEE (4)
",https://www.discoverlife.org/20/q?search=Andrena+runcinatae,,
Y,70,Andrena salictaria,Micrandrena,Andrenidae,Andreninae,"ground nesting, solitary",declining in Northeast,Bartomeus et al. 2013,"Acer sp @ BBSL (1)
Daucus carota @ BMEC_ENT (1)
Lomatium leptocarpum @ BBSL (1)
Lomatium sp @ BBSL (8)
Zizia aurea @ CUIC_ENT (1)
Leucanthemum vulgare @ CUIC_ENT (3)
Taraxacum campylodes @ CUIC_ENT (1)
Barbarea vulgaris @ CUIC_ENT (1)
Cornus mas @ CUIC_ENT (1)
Salix sp @ BBSL (57)
Salix sericea @ AMNH_BEE (1)
Salix sp @ CUIC_ENT (210)
Salix @ AMNH_BEE (30)",https://www.discoverlife.org/20/q?search=Andrena+salictaria,,
Y,71,Andrena sayi,Melandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Polycitoridae  Salix sp @ BBSL (4)
Prunus sp @ BBSL (1)
Spiraea thunbergii @ BBSL (1)
apple @ NLA (1)",https://www.discoverlife.org/20/q?search=Andrena+sayi,,
Y,72,Andrena sigmundi,Trachandrena,Andrenidae,Andreninae,"ground nesting, solitary",declining in Northeast,Bartomeus et al. 2013,"Zizia @ AMNH_BEE (1)
Taraxacum campylodes @ CUIC_ENT (1)
Tussilago farfara @ CUIC_ENT (2)
Barbarea vulgaris @ CUIC_ENT (1)
Cornus mas @ CUIC_ENT (1)
Shepherdia canadensis @ AMNH_BEE (1)
Hepatica @ AMNH_BEE (1)
Amelanchier sp @ CUIC_ENT (5)
Fragaria sp @ CUIC_ENT (1)
Spiraea sp @ CUIC_ENT (1)
Salix bebbiana @ AMNH_BEE (1)
Salix discolor @ CUIC_ENT (2); AMNH_BEE (1)
Salix humilis @ CUIC_ENT (1)
Salix sp @ CUIC_ENT (76)
Salix @ CUIC_ENT (2); AMNH_BEE (28)
Acer rubrum @ CUIC_ENT (1)",https://www.discoverlife.org/20/q?search=Andrena+sigmundi#Hosts,,
Y,73,Andrena simplex,Callandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Aster sp @ UCMS_ENT (1)
Solidago canadensis @ UCRC_ENT (1)
Solidago sp @ CUIC_ENT (63)
Solidago @ UCMS_ENT (2); AMNH_BEE (1)
Symphyotrichum lanceolatum @ UCRC_ENT (1)
Symphyotrichum @ I_JDZ (1)",https://www.discoverlife.org/20/q?search=Andrena+simplex,,
Y,74,Andrena spiraeana,Trachandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Viburnum dentatum @ UCMS_ENT (6)
Viburnum sp @ CUIC_ENT (2)
Rhus typhina @ CUIC_ENT (1)
Pastinaca sativa @ CUIC_ENT (2)
Ilex opaca @ UCMS_ENT (3); AMNH_BEE (6)
Ilex sp @ UCMS_ENT (1)
Hypochaeris radicata @ UCMS_ENT (1)
Barbarea vulgaris @ CUIC_ENT (2)
Cornus @ AMNH_BEE (1)
Lotus corniculatus @ CUIC_ENT (1)
Melilotus officinalis @ CUIC_ENT (1)
Vicia @ UCRC_ENT (1)
Hydrangea arborescens @ BBSL (1)
Ceanothus americanus @ AMNH_BEE (2); CUIC_ENT (3)
Amelanchier arborea @ CUIC_ENT (1)
Aruncus aruncus @ CUIC_ENT (3)
Physocarpus opulifolius @ CUIC_ENT (4)
Potentilla fruticosa @ UCRC_ENT (1)
Rosa sp @ CUIC_ENT (1)
Rubus sp @ CUIC_ENT (2)
Rubus @ UCRC_ENT (3)
Sorbaria sorbifolia @ CUIC_ENT (12)
Spiraea latifolia @ CUIC_ENT (2)
Spiraea @ AMNH_BEE (1); UCMS_ENT (1)
cucurbit @ NLA (7)",https://www.discoverlife.org/20/q?search=Andrena+spiraeana,,
Y,75,Andrena thaspii,Andrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Viburnum dentatum @ UCMS_ENT (6)
Rhus typhina @ CUIC_ENT (2)
Heracleum lanatum @ I_ADG (1)
Pastinaca sativa @ CUIC_ENT (4)
Pastinaca sp @ CUIC_ENT (2)
Agoseris glauca @ RMBL_ENT (1)
Erigeron strigosus @ CUIC_ENT (1)
Rudbeckia hirta @ CUIC_ENT (3)
Senecio sp @ BBSL (1)
Hackelia patens @ BBSL (1)
Barbarea vulgaris @ CUIC_ENT (8)
Brassica sp @ CUIC_ENT (2)
Lepidium sp @ BBSL (1)
Moricandia arvensis @ CUIC_ENT (1)
Symphoricarpos occidentalis @ CUIC_ENT (1); AMNH_BEE (4)
Arenaria hookeri @ BBSL (1)
Cornus stolonifera @ CUIC_ENT (1)
Melilotus officinalis @ CUIC_ENT (19); AMNH_BEE (1)
Frasera speciosa @ BBSL (33)
Fraseria @ AMNH_BEE (1)
Geranium fremontii @ BBSL (4)
Ribes aureum @ BBSL (3)
Linum lewisii @ RMBL_ENT (1); BBSL (1)
Tilia americana @ AMNH_BEE (1)
Eriogonum flavum @ AMNH_BEE (3)
Aquilegia coerulea @ RMBL_ENT (1)
Ranunculus sp @ BBSL (2)
Ceanothus americanus @ CUIC_ENT (4)
Cercocarpus montanus @ BBSL (1)
Pentaphylloides floribunda @ RMBL_ENT (1)
Photinia melanocarpa @ UCMS_ENT (1)
Physocarpus opulifolius @ CUIC_ENT (5)
Potentilla fruticosa @ BBSL (1)
Potentilla glandulosa @ BBSL (1)
Potentilla pulcherrima @ RMBL_ENT (5); DART_ENT (3)
Potentilla recta @ CUIC_ENT (5)
Prunus maritima @ UCMS_ENT (1)
Purshia tridentata @ BBSL (1)
Rosa carolina @ CUIC_ENT (5)
Rosa sp @ CUIC_ENT (1)
Rosa @ UCMS_ENT (2)
Rubus sp @ CUIC_ENT (7)
Rubus @ UCMS_ENT (1)
Sorbaria sorbifolia @ CUIC_ENT (8)
Spiraea latifolia @ CUIC_ENT (3)
Salix @ AMNH_BEE (1)
Mimulus guttatus @ BBSL (1)
Valeriana occicentalis @ DART_ENT (1)
Boraginaceae sp @ BBSL (1)",https://www.discoverlife.org/20/q?search=Andrena+thaspii,,
Y,76,Andrena tridens,Andrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Mertensia @ AMNH_BEE (1)
Andromeda @ AMNH_BEE (1)
Azalea sp @ BBSL (1)
Hydrangea sp @ BBSL (1)
Erythronium @ AMNH_BEE (2)
Prunus @ AMNH_BEE (3)
Salix humilis @ AMNH_BEE (1)
apple @ NLA (6)",https://www.discoverlife.org/20/q?search=Andrena+tridens,,
Y,77,Andrena uvulariae,Derandrena,Andrenidae,Andreninae,"ground nesting, solitary",uncommon,"Droege, USGS 2015",???,https://www.discoverlife.org/20/q?search=Andrena+uvulariae#Hosts,,
Y,78,Andrena vicina,Melandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Acer platanoides @ NDB (1)
Viburnum wrightii @ AMNH_BEE (1)
Asclepias syriaca @ AMNH_BEE (1)
Ilex opaca @ UCMS_ENT (3)
Ilex verticillata @ AMNH_BEE (1)
Cirsium arvense @ UCMS_ENT (1)
Taraxacum campylodes @ AMNH_BEE (1); CUIC_ENT (6)
Berberis thunbergii @ AMNH_BEE (1)
Berberis @ CUIC_ENT (6)
Alliaria petiolata @ AMNH_BEE (1)
Barbarea vulgaris @ UCMS_ENT (1); AMNH_BEE (1); CUIC_ENT (24)
Brassica rapa @ UCMS_ENT (1)
Cardamine concatenata @ CUIC_ENT (2)
Buxus sp @ UCMS_ENT (14)
Lonicera fragrantissima @ AMNH_BEE (1)
Lonicera sp @ UCMS_ENT (1)
Cerastium fontanum @ UCMS_ENT (1)
Cornus laciniata @ CUIC_ENT (1)
Cornus stolonifera @ CUIC_ENT (1)
Chamaedaphne calyculata @ AMNH_BEE (2)
Kalmia sp @ AMNH_BEE (2)
Kalmia @ AMNH_BEE (2)
Ledum groenlandicum @ CUIC_ENT (4)
Rhododendron @ CUIC_ENT (4)
Vaccinium corymbosum @ AMNH_BEE (1); RUAC_ENT (5); UCMS_ENT (1)
Vaccinium macrocarpon @ RUAC_ENT (2)
Vaccinium pallidum @ AMNH_BEE (2)
Vaccinium sp @ AMNH_BEE (5)
Vaccinium stamineum @ CUIC_ENT (2)
Vaccinium @ UCMS_ENT (3); CUIC_ENT (36); AMNH_BEE (3)
Euphorbia esula @ UCMS_ENT (1)
Cercis @ CUIC_ENT (1)
Melilotus @ AMNH_BEE (2)
Trifolium hybridum @ CUIC_ENT (1)
Trifolium repens @ MLSB__N16- (1); UCMS_ENT (1)
Aletris farinosa @ AMNH_BEE (1)
Caltha @ AMNH_BEE (1)
Ranunculus @ UCMS_ENT (1)
Amelanchier arborea @ CUIC_ENT (2)
Amelanchier sp @ AMNH_BEE (1)
Crataegus punctata @ CUIC_ENT (4)
Malus pumila @ CUIC_ENT (1)
Malus @ CUIC_ENT (15); AMNH_BEE (1)
Photinia melanocarpa @ UCMS_ENT (2)
Physocarpus opulifolius @ CUIC_ENT (1)
Prunus cerasus @ CUIC_ENT (8)
Prunus maritima @ AMNH_BEE (1); UCMS_ENT (3)
Prunus pumila @ AMNH_BEE (1)
Prunus virginiana @ AMNH_BEE (1)
Prunus @ UCMS_ENT (3); CUIC_ENT (15)
Pyracantha @ CUIC_ENT (3)
Rosa multiflora @ UCMS_ENT (3)
Rosa rugosa @ UCMS_ENT (1)
Rosa @ CUIC_ENT (1); I_JSA (3)
Rubus flagellaris @ UCMS_ENT (1)
Rubus sp @ BBSL (1)
Rubus @ CUIC_ENT (20); UCMS_ENT (2)
Spiraea japonica @ UCMS_ENT (1)
Spiraea @ CUIC_ENT (10)
Salix babylonica @ CUIC_ENT (1)
Salix humilis @ AMNH_BEE (4)
Salix @ CUIC_ENT (85); AMNH_BEE (8)
apple @ NLA (34)
blueberry @ NLA (59)
cucurbit @ NLA (1)",https://www.discoverlife.org/20/q?search=Andrena+vicina,,
Y,79,Andrena violae,lomelissa,Andrenidae,Andreninae,"ground nesting, solitary",,,"Arctostaphylos patula @ BBSL (2) Viola rafinesquii @ AMNH_BEE (1)
 apple @ NLA (16)
blueberry @ NLA (10)",https://www.discoverlife.org/20/q?search=Andrena+violae,,
Y,80,Andrena virginiana,Trachandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Daucus carota @ CUIC_ENT (1)
Solidago sp @ CUIC_ENT (1)
Stellaria pubera @ AMNH_BEE (1)
Melilotus officinalis @ CUIC_ENT (1)
Ceanothus americanus @ AMNH_BEE (4)
Rosa carolina @ CUIC_ENT (1)
Rubus sp @ CUIC_ENT (1)
Spiraea latifolia @ CUIC_ENT (11)
Spiraea sp @ CUIC_ENT (2)
Spiraea @ CUIC_ENT (1)
Tamarix @ AMNH_BEE (1)",https://www.discoverlife.org/20/q?search=Andrena+virginiana,,
Y,81,Andrena wheeleri,Simandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Cryptotaenia canadensis @ AMNH_BEE (1)
Lomatium dissectum @ BBSL (2)
Lomatium triternatum @ BBSL (2)
Sanicula marilandica @ AMNH_BEE (1)
Zizia aurea @ AMNH_BEE (4)
Hesperis matronalis @ CUIC_ENT (1)
Fallopia convolvulus @ CUIC_ENT (2)
Rubus sp @ BBSL (1); CUIC_ENT (22)
Rubus @ CUIC_ENT (1)
Apiaceae sp @ BBSL (2)",https://www.discoverlife.org/20/q?search=Andrena+wheeleri,,
Y,82,Andrena wilkella,Taeniandrena,Andrenidae,Andreninae,"ground nesting, solitary",non-native, introduced from Europe,Sheffield et al. 2011a,--,--,
Y,83,Andrena w-scripta,Thysandrena,Andrenidae,Andreninae,"ground nesting, solitary",declining in Northeast,Bartomeus et al. 2013,"Rhus aromatica @ BBSL (11)
Rhus sp @ BBSL (1); -111. (1)
Rhus trilobata @ BBSL (2)
Rhus @ CUIC_ENT (1)
Cymopterus beckii @ BBSL (1)
Daucus carota @ BBSL (1)
Lomatium dissectum @ BBSL (8)
Lomatium kingii @ BBSL (2)
Lomatium sp @ BBSL (21)
Pastinaca sativa @ CUIC_ENT (6)
Pseudocymopterus montanus @ DART_ENT (1)
Zizia aurea @ AMNH_BEE (1)
Erigeron sp @ BBSL (1)
Grindelia sp @ BBSL (1)
Taraxacum officinale @ BBSL (1)
Berberis @ AMNH_BEE (1)
Hackelia patens @ BBSL (1)
Barbarea vulgaris @ CUIC_ENT (41)
Cardaria draba @ BBSL (3)
Lepidium montanum @ BBSL (1)
Lepidium sp @ BBSL (2)
Lesquerella sp @ BBSL (3)
Physaria obcordata @ BBSL (4)
Melilotus officinalis @ CUIC_ENT (12)
Melilotus sp @ BBSL (1)
Vicia villosa @ BBSL (1)
Castanea pumila @ AMNH_BEE (1)
Ribes sp @ BBSL (1)
Phacelia sp @ BBSL (1)
Claytonia caroliniana @ CUIC_ENT (1)
Oenothera @ AMNH_BEE (1)
Polycitoridae  Salix sp @ BBSL (21)
Eriogonum sp @ BBSL (1)
Eriogonum @ AMNH_BEE (1)
Ceanothus cuneatus @ AMNH_BEE (4)
Ceanothus velutinus @ BBSL (1)
Ceanothus @ CUIC_ENT (2)
Adenostoma fasciculatum @ AMNH_BEE (8)
Amelanchier arborea @ CUIC_ENT (1)
Amelanchier sp @ BBSL (1)
Crataegus punctata @ CUIC_ENT (1)
Crataegus @ AMNH_BEE (1)
Fragaria sp @ BBSL (5)
Malus pumila @ BBSL (5)
Physocarpus opulifolius @ CUIC_ENT (2)
Potentilla anserina @ CUIC_ENT (3)
Potentilla glandulosa @ BBSL (1)
Potentilla tridentata @ CUIC_ENT (1)
Prunus andersonii @ BBSL (1)
Prunus armeniaca @ BBSL (3)
Prunus avium @ BBSL (17)
Prunus demissa @ AMNH_BEE (3)
Prunus domestica @ BBSL (6)
Prunus sp @ BBSL (11)
Prunus virginiana @ RMBL_ENT (1)
Pyrus communis @ BBSL (5)
Pyrus pumila @ BBSL (1)
Rosa carolina @ CUIC_ENT (1)
Rubus occidentalis @ CUIC_ENT (1)
Rubus sp @ BBSL (1)
Rubus @ CUIC_ENT (10)
Sorbaria sorbifolia @ CUIC_ENT (2)
Spiraea prunifolia @ BBSL (1)
Spiraea vanhouttei @ CUIC_ENT (2)
Salix sp @ CUIC_ENT (1)
Salix @ AMNH_BEE (2); CUIC_ENT (14)
Apiaceae sp @ BBSL (5)
Apiaceae sp_( @ BBSL (1)
Rosaceae sp @ BBSL (2)",https://www.discoverlife.org/mp/20o?search=Andrena+w-scripta,,
Y,84,Andrena ziziae,Micrandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Polytaenia nuttallii @ AMNH_BEE (1)
Zizia aurea @ CUIC_ENT (541); AMNH_BEE (52); UCMS_ENT (4); BBSL (3); I_JSA (4)
Zizia @ AMNH_BEE (4)
Hieracium @ CUIC_ENT (9)
Barbarea vulgaris @ CUIC_ENT (1)",https://www.discoverlife.org/mp/20o?search=Andrena+ziziae,,
Y,85,Andrena ziziaeformis,Derandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Lomatium sp @ BBSL (2)
Hackelia micrantha @ BBSL (31)
Hackelia patens @ BBSL (14)
Isatis tinctoria @ BBSL (1)
Lesquerella multiceps @ BBSL (1)
Phacelia sp @ BBSL (2)
Erythronium grandiflorum @ BBSL (2)
Ivesia gordonii @ BBSL (2)
Potentilla sp @ BBSL (3)
Penstemon sp @ BBSL (1)",https://www.discoverlife.org/mp/20o?search=Andrena+ziziaeformis,,
