Status,Number,Species,Subgenus,Family,Subfamily,Life history notes,Conservation status,Reference,Plant Foraging Habits,Link to Plant Data,Habitat Details,Link to Habitat Details
Y,8,Andrena barbara,Melandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Barbarea vulgaris @ AMNH_BEE (1)
Brassica sp @ BBSL (1)
Cardamine concatenata @ AMNH_BEE (4)
Lesquerella filiformis @ AMNH_BEE (2)
Claytonia virginica @ AMNH_BEE (3)
Amelanchier sp @ CUIC_ENT (1)
Crataegus @ AMNH_BEE (1)
Prunus angustifolia @ AMNH_BEE (9)
Prunus sp @ CUIC_ENT (2)
Salix @ AMNH_BEE (3)
apple @ NLA (140)
blueberry @ NLA (4)
caneberry @ NLA (2)
peach @ NLA (14)",https://www.discoverlife.org/20/q?search=Andrena+barbara#Hosts,,
Y,9,Andrena barbilabris,Leucandrena,Andrenidae,Andreninae,"ground nesting, solitary",declining in Northeast,Bartomeus et al. 2013,"Taraxacum campylodes @ CUIC_ENT (5)
Taraxacum officinale @ BBSL (5)
Barbarea vulgaris @ CUIC_ENT (25)
Lesquerella sp @ BBSL (1)
Cornus mas @ CUIC_ENT (3)
Arctostaphylos @ UCRC_ENT (1)
Rhododendron mucronulatum @ CUIC_ENT (1)
Phacelia sp @ BBSL (1)
Crocus sp @ CUIC_ENT (1)
Salix sp @ BBSL (4)
Rhamnus californica @ UCRC_ENT (2)
Amelanchier alnifolia @ BBSL (1)
Malus pumila @ BBSL (2)
Malus @ UCMS_ENT (1)
Potentilla anserina @ CUIC_ENT (4)
Prunus americana @ UCRC_ENT (1); AMNH_BEE (4)
Prunus virginiana @ AMNH_BEE (7); BBSL (4)
Pyracantha sp @ CUIC_ENT (7)
Rubus sp @ CUIC_ENT (2)
Salix sp @ CUIC_ENT (18)",https://www.discoverlife.org/20/q?search=Andrena+barbilabris,,
Y,10,Andrena bisalicis,Thysandrena,Andrenidae,Andreninae,"ground nesting, solitary",declining in Northeast,Bartomeus et al. 2013,"Taraxacum campylodes @ CUIC_ENT (1)
Arabis laevigata @ AMNH_BEE (1)
Barbarea vulgaris @ CUIC_ENT (4)
Cornus mas @ CUIC_ENT (18)
Pieris japonica @ UCMS_ENT (1)
Salix gracilistyla @ I_JSA (1)
Ranunculus sp @ CUIC_ENT (1)
Prunus angustifolia @ AMNH_BEE (2)
Prunus maritima @ UCMS_ENT (1)
Prunus sp @ CUIC_ENT (2)
Prunus @ AMNH_BEE (1)
Rubus sp @ CUIC_ENT (2)
Salix gracilistyla @ AMNH_BEE (6)
Salix humilis @ AMNH_BEE (1)
Salix interior @ UCRC_ENT (1)
Salix nigra @ UCRC_ENT (1)
Salix sp @ CUIC_ENT (67)
Salix @ CUIC_ENT (2); AMNH_BEE (15)
apple @ NLA (1)",https://www.discoverlife.org/20/q?search=Andrena+bisalicis,,
Y,11,Andrena braccata,Callandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Aster sp @ UCMS_ENT (1)
Euthamia caroliniana @ UCMS_ENT (1)
Solidago rugosa @ UCMS_ENT (1)
Solidago sempervirens @ UCMS_ENT (4)
Solidago sp @ UCMS_ENT (7); CUIC_ENT (7)
Solidago tenuifolia @ UCMS_ENT (10)
Solidago @ AMNH_BEE (4)",https://www.discoverlife.org/20/q?search=Andrena+braccata,,
Y,12,Andrena bradleyi,Conandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Barbarea vulgaris @ CUIC_ENT (1)
Andromeda @ AMNH_BEE (2)
Chamaedaphne calyculata @ AMNH_BEE (6); CUIC_ENT (1)
Kalmia angustifolia @ AMNH_BEE (1)
Kalmia latifolia @ CUIC_ENT (5)
Pieris japonica @ AMNH_BEE (1)
Vaccinium atrococcum @ BBSL (1)
Vaccinium corymbosum @ AMNH_BEE (1)
Vaccinium sp @ CUIC_ENT (3); BBSL (1)
Vaccinium @ UCMS_ENT (26); AMNH_BEE (3)
Salix @ UCMS_ENT (2)
Ribes oxyacanthoides @ UCRC_ENT (1)",https://www.discoverlife.org/20/q?search=Andrena+bradleyi,,
Y,13,Andrena brevipalpis,Rhacandrena,Andrenidae,Andreninae,"ground nesting, solitary",declining in Northeast,Bartomeus et al. 2013,"Rhus borealis @ UCRC_ENT (1)
Rhus copallinum @ UCMS_ENT (1)
Rhus glabra @ AMNH_BEE (21); UCRC_ENT (29)
Rhus sp @ CUIC_ENT (4)
Rhus typhina @ CUIC_ENT (11); UCRC_ENT (3)
Rhus @ UCRC_ENT (1)
Daucus carota @ UCMS_ENT (1)
Apocynum androsaemifolium @ AMNH_BEE (1)
Achillea millefolium @ UCMS_ENT (4)
Erigeron strigosus @ CUIC_ENT (1)
Hieracium sp @ CUIC_ENT (3)
Leucanthemum vulgare @ CUIC_ENT (1)
Barbarea vulgaris @ CUIC_ENT (5)
Brassica sp @ CUIC_ENT (1)
Cornus racemosa @ CUIC_ENT (1)
Amorpha fruticosa @ AMNH_BEE (2)
Melilotus officinalis @ CUIC_ENT (4)
Ceanothus americanus @ UCRC_ENT (8); CUIC_ENT (17)
Ceanothus @ AMNH_BEE (1)
Physocarpus opulifolius @ CUIC_ENT (1)
Potentilla recta @ CUIC_ENT (1)
Rubus sp @ CUIC_ENT (5)
Spiraea sp @ CUIC_ENT (1)
Spiraea vanhouttei @ CUIC_ENT (1)
Tamarix gallica @ AMNH_BEE (1)
cucurbit @ NLA (1)",https://www.discoverlife.org/20/q?search=Andrena+brevipalpis,,
Y,14,Andrena canadensis,Cnemidandrena,Andrenidae,Andreninae,"ground nesting, solitary",declining in Northeast,Bartomeus et al. 2013,"Chrysothamnus sp @ BBSL (2)
Eurybia macrophylla @ CUIC_ENT (5)
Grindelia squarrosa @ AMNH_BEE (8); UCRC_ENT (1); CUIC_ENT (1)
Gutierrezia sarothrae @ UCRC_ENT (1)
Solidago canadensis @ CUIC_ENT (1); AMNH_BEE (7); UCRC_ENT (9)
Solidago gigantea @ AMNH_BEE (1)
Solidago nemoralis @ UCMS_ENT (1)
Solidago rigida @ AMNH_BEE (9)
Solidago rugosa @ UCRC_ENT (2)
Solidago sp @ CUIC_ENT (46); BBSL (1); UCMS_ENT (1)
Solidago @ UCMS_ENT (6); AMNH_BEE (7); UCRC_ENT (3)
Eriogonum @ AMNH_BEE (1)
Fagopyrum esculentum @ CUIC_ENT (2)",https://www.discoverlife.org/20/q?search=Andrena+canadensis,,
Y,15,Andrena carlini,Melandrena,Andrenidae,Andreninae,"ground nesting, solitary",declining in Northeast,Bartomeus et al. 2013,"Viburnum opulus @ UCRC_ENT (4)
Viburnum wrightii @ AMNH_BEE (1)
Viburnum @ AMNH_BEE (2)
Narcissus @ CUIC_ENT (2)
Muscari @ CUIC_ENT (1)
Erigeron philadelphicus @ UCRC_ENT (1)
Hieracium @ CUIC_ENT (2)
Taraxacum campylodes @ CUIC_ENT (32)
Taraxacum @ CUIC_ENT (1)
Tussilago farfara @ CUIC_ENT (1)
Berberis thunbergii @ AMNH_BEE (3)
Cynoglossum officinale @ CUIC_ENT (1)
Barbarea vulgaris @ CUIC_ENT (52)
Barbarea @ CUIC_ENT (1)
Cardamine concatenata @ AMNH_BEE (6); CUIC_ENT (23)
Cardamine diphylla @ CUIC_ENT (1)
Dentaria @ CUIC_ENT (1)
Lesquerella filiformis @ AMNH_BEE (1)
Buxus microphylla @ CUIC_ENT (3)
Buxus @ CUIC_ENT (8)
Cornus alba @ CUIC_ENT (5)
Cornus mas @ CUIC_ENT (5)
Cornus stolonifera @ CUIC_ENT (6)
Andromeda @ AMNH_BEE (4)
Arctostaphylos patula @ BBSL (3)
Chamaedaphne calyculata @ AMNH_BEE (1)
Gaylussacia @ AMNH_BEE (1)
Rhododendron mucronulatum @ CUIC_ENT (1)
Vaccinium sp @ AMNH_BEE (5)
Vaccinium stamineum @ CUIC_ENT (3)
Vaccinium @ UCRC_ENT (2); CUIC_ENT (95); AMNH_BEE (10); UCMS_ENT (2)
Trifolium repens @ UCMS_ENT (17)
Fagus grandifolia @ CUIC_ENT (1)
Ribes aureum @ AMNH_BEE (2)
Ribes setosum @ AMNH_BEE (2)
Ribes @ AMNH_BEE (3)
Erythronium americanum @ CUIC_ENT (32)
Erythronium @ AMNH_BEE (3)
Maianthemum stellatum @ AMNH_BEE (1)
Claytonia caroliniana @ CUIC_ENT (3)
Aletris farinosa @ AMNH_BEE (1)
Amelanchier arborea @ CUIC_ENT (1)
Crataegus punctata @ CUIC_ENT (12)
Fragaria @ CUIC_ENT (3)
Malus pumila @ CUIC_ENT (5)
Malus @ AMNH_BEE (7); UCRC_ENT (1)
Physocarpus opulifolius @ CUIC_ENT (18)
Potentilla sp @ AMNH_BEE (1)
Prunus cerasus @ CUIC_ENT (5)
Prunus maritima @ AMNH_BEE (12)
Prunus pensylvanica @ UCMS_ENT (1)
Prunus @ CUIC_ENT (14); I_HHGA (1); AMNH_BEE (14)
Rosa @ CUIC_ENT (1)
Rubus allegheniensis @ CUIC_ENT (10)
Rubus argutus @ UCRC_ENT (11)
Rubus flagellaris @ UCMS_ENT (1)
Rubus occidentalis @ CUIC_ENT (3)
Rubus spp @ AMNH_BEE (1)
Rubus @ UCRC_ENT (1); CUIC_ENT (30)
Spiraea thunbergii @ BBSL (1)
Spiraea vanhouttei @ CUIC_ENT (3)
Spiraea @ CUIC_ENT (1); UCRC_ENT (1)
Salix atrocinerea @ AMNH_BEE (11)
Salix babylonica @ CUIC_ENT (1)
Salix discolor @ CUIC_ENT (3)
Salix humilis @ CUIC_ENT (8); AMNH_BEE (79)
Salix @ CUIC_ENT (68); UCRC_ENT (1); AMNH_BEE (26)
Acer rubrum @ CUIC_ENT (8)
Saxifraga virginiensis @ AMNH_BEE (1)
Scina @ CUIC_ENT (1)
Viola rafinesquii @ AMNH_BEE (12)
apple @ NLA (39)
blueberry @ NLA (84)",https://www.discoverlife.org/20/q?search=Andrena+carlini,,
Y,16,Andrena carolina,Andrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Hieracium sp @ CUIC_ENT (1)
Berberis thunbergii @ AMNH_BEE (1)
Chamaedaphne calyculata @ AMNH_BEE (1)
Gaylussacia baccata @ UCRC_ENT (1)
Gaylussacia @ UCMS_ENT (1)
Vaccinium angustifolium @ UCRC_ENT (1)
Vaccinium corymbosum @ AMNH_BEE (1); UCMS_ENT (1)
Vaccinium hirsutum @ BBSL (1)
Vaccinium pallidum @ AMNH_BEE (3)
Vaccinium sp @ UCMS_ENT (2); BBSL (1); CUIC_ENT (5)
Vaccinium stamineum @ CUIC_ENT (30); AMNH_BEE (6)
Vaccinium @ CUIC_ENT (2); AMNH_BEE (8)",https://www.discoverlife.org/20/q?search=Andrena+carolina,,
Y,17,Andrena ceanothi,Trachandrena,Andrenidae,Andreninae,"ground nesting, solitary",,,"Barbarea vulgaris @ CUIC_ENT (1)
Vaccinium sp @ CUIC_ENT (2)
Vaccinium @ AMNH_BEE (1)
Amorpha fruticosa @ AMNH_BEE (16)
Ceanothus @ AMNH_BEE (1)
Physocarpus opulifolius @ CUIC_ENT (1)
Rubus argutus @ UCRC_ENT (5)
Rubus sp @ CUIC_ENT (21)
Rubus @ CUIC_ENT (1)",https://www.discoverlife.org/20/q?search=Andrena+ceanothi,,
